Path,AOM,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,Edge_Value,Synonym,Description,Notes,Example Units,Ontology,Agrovoc,Group,Scientific Name,NCBI,Sex,ERA.Field,ERA_Code,C or E,WFO,Feedipedia,CPC_Code_Product,CPC_Code_Component,CPC_Code_Product_Match,CPC_Code_Component_Match,Ani_Diet_Spp_Syn,Is_Ani_Diet_Ingredient,ilri_code,Column1,Column2,Column3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Pigeon Pea/Pigeon Pea Leaves/Pigeon Pea Leaves Dried,AOM_001629,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Pigeon Pea,Pigeon Pea Leaves,Pigeon Pea Leaves Dried,Pigeon Pea Leaves Dried,,,,,,http://aims.fao.org/aos/agrovoc/c_13356,,Cajanus cajan,http://purl.obolibrary.org/obo/NCBITaxon_3821,,,,,wfo-0000203743,No match,01707,No match,Pigeon peas,,Cajanus cajan Leaves,No Match,No Match,,,Cajanus cajan Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Pigeon Pea/Pigeon Pea Leaves,AOM_000609,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Pigeon Pea,Pigeon Pea Leaves,,Pigeon Pea Leaves,,,,,,http://aims.fao.org/aos/agrovoc/c_13356,,Cajanus cajan,http://purl.obolibrary.org/obo/NCBITaxon_3821,,,,,wfo-0000203743,No match,01707,No match,Pigeon peas,,Cajanus cajan Leaves,Pigeon Pea Leaves,FEED0441,,,Cajanus cajan Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Cake,AOM_000610,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Cake,,Soybean Cake,,,,,,http://aims.fao.org/aos/agrovoc/c_16043,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,2191,Soybean,"Oil-cake and other solid residues, of vegetable fats",Glycine max Cake,Soybean Cake,FEED0368,,,Glycine max Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Cake Ground,AOM_002021,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Cake Ground,,Soybean Cake Ground,Soybean Oil Cake Meal; Soybean Oil Cake; Soybean Cake; Soybean Cake Milled,,,,,http://aims.fao.org/aos/agrovoc/c_16043,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,2191,Soybean,"Oil-cake and other solid residues, of vegetable fats",Glycine max Cake,No Match,FEED0368,,,Glycine max Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Cheese Waste,AOM_006317,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Cheese Waste,Soybean Cheese Waste Crushed Ensiled,Soybean Cheese Waste Crushed Ensiled,,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,Glycine max Waste,No Match,No Match,,,Glycine max Waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Cheese Waste,AOM_003930,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Cheese Waste,,Soybean Cheese Waste,Soybean Cheese Residue,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,Glycine max Waste,Soybean Cheese Waste,No Match,,,Glycine max Waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Dried,AOM_000612,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Dried,,Soybean Dried,Soybean Hay,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,01919.9,Soybean,Other forage products,Glycine max,No Match,FEED0367,,,Glycine max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Dried Fermented,AOM_002020,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Dried Fermented,,Soybean Dried Fermented,,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,Glycine max,No Match,No Match,,,Glycine max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Flakes Defatted/Soybean Flakes Defatted Crushed Dehulled Dried Extruded Heated Ground,AOM_002122,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Flakes Defatted,Soybean Flakes Defatted Crushed Dehulled Dried Extruded Heated Ground,Soybean Flakes Defatted Crushed Dehulled Dried Extruded Heated Ground,Soybean Flakes Defatted Crushed Dehulled Dried,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,Glycine max Flakes Defatted,No Match,No Match,,,Glycine max Flakes Defatted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Flakes Defatted/Soybean Flakes Defatted Crushed Dehulled Heated,AOM_002121,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Flakes Defatted,Soybean Flakes Defatted Crushed Dehulled Heated,Soybean Flakes Defatted Crushed Dehulled Heated,Soybean Flakes Defatted Crushed Dehulled Dried Extruded Heated Meal; Soybean Flakes Defatted Crushed Dehulled Dried Extruded Heated Milled,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,Glycine max Flakes Defatted,No Match,No Match,,,Glycine max Flakes Defatted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Flakes Defatted/Soybean Flakes Defatted Dried Ground,AOM_001949,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Flakes Defatted,Soybean Flakes Defatted Dried Ground,Soybean Flakes Defatted Dried Ground,Soybean Flakes Defatted Dried Meal; Soybean Flakes Defatted Dried Milled,,,,,http://aims.fao.org/aos/agrovoc/c_16043,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,,No Match,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Flakes Defatted/Soybean Flakes Defatted Extruded,AOM_001362,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Flakes Defatted,Soybean Flakes Defatted Extruded,Soybean Flakes Defatted Extruded,,,,,,http://aims.fao.org/aos/agrovoc/c_16043,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,Glycine max Flakes Defatted,No Match,No Match,,,Glycine max Flakes Defatted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Flakes Defatted,AOM_001361,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Flakes Defatted,,Soybean Flakes Defatted,,,,,,http://aims.fao.org/aos/agrovoc/c_16043,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,Glycine max Flakes Defatted,Soybean Flakes Defatted,No Match,,,Glycine max Flakes Defatted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Full Fat Cake,AOM_000611,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Full Fat Cake,,Soybean Full Fat Cake,Soybean Oil Cake Full Fat,,,,,http://aims.fao.org/aos/agrovoc/c_16043,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,2191,Soybean,"Oil-cake and other solid residues, of vegetable fats",Glycine max Full Fat Cake,Soybean Full Fat Cake,No Match,,,Glycine max Full Fat Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Haulm,AOM_00205,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Haulm,,Soybean Haulm,,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,Glycine max Haulm,Soybean Haulm,FEED0463,,,Glycine max Haulm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Hull,AOM_001891,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Hull,,Soybean Hull,,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,https://www.feedipedia.org/node/12623,0141,No match,Soybean,,Glycine max Hull,Soybean Hull,FEED0037,,,Glycine max Hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Residue,AOM_006329,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Residue,Soybean Residue Dried,Soybean Residue Dried,,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,Glycine max Residue,No Match,FEED0463,,,Glycine max Residue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Residue,AOM_000614,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Residue,,Soybean Residue,,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,Glycine max Residue,Soybean Residue,FEED0463,,,Glycine max Residue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Shell,AOM_001272,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Shell,,Soybean Shell,,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,No match,0141,No match,Soybean,,Glycine max Shell,Soybean Shell,FEED0037,,,Glycine max Shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Straw,AOM_006319,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Straw,Soybean Straw Dried,Soybean Straw Dried,Soybean Stover Dried,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,https://www.feedipedia.org/node/19916,0141,01913,Soybean,"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",Glycine max Straw,No Match,FEED0463,,,Glycine max Straw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Straw,AOM_006396,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Straw,Soybean Straw Dried Molasses Treated Urea Treated,Soybean Straw Dried Molasses Treated Urea Treated,,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,https://www.feedipedia.org/node/19916,0141,01913,Soybean,"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",Glycine max Straw,No Match,No Match,,,Glycine max Straw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Straw,AOM_006345,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Straw,Soybean Straw Dried Urea Treated,Soybean Straw Dried Urea Treated,,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,https://www.feedipedia.org/node/19916,0141,01913,Soybean,"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",Glycine max Straw,No Match,No Match,,,Glycine max Straw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Straw,AOM_001271,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Soybean,Soybean Straw,,Soybean Straw,Soybean Stover,,,,,,,Glycine max,http://purl.obolibrary.org/obo/NCBITaxon_3847,,,,,wfo-0000181462,https://www.feedipedia.org/node/19916,0141,01913,Soybean,"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",Glycine max Straw,Soybean Straw,FEED0463,,,Glycine max Straw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume Products/Legume Residue,AOM_001817,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume Products,Legume Residue,,,Legume Residue,,,,,,http://aims.fao.org/aos/agrovoc/c_13356,,,http://purl.obolibrary.org/obo/NCBITaxon_3821,,,,,,No match,No match,No match,,,,Legume Residue,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume Products/Pigeon Pea/Pigeon Pea Dried,AOM_001632,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume Products,Pigeon Pea,Pigeon Pea Dried,,Pigeon Pea Dried,,,,,,http://aims.fao.org/aos/agrovoc/c_13356,,Cajanus cajan,http://purl.obolibrary.org/obo/NCBITaxon_3821,,,,,wfo-0000203743,https://www.feedipedia.org/node/11910,01707,No match,Pigeon peas,,Cajanus cajan,No Match,FEED0324,,,Cajanus cajan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume Products/Pigeon Pea,AOM_001314,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume Products,Pigeon Pea,,,Pigeon Pea,,,,,,http://aims.fao.org/aos/agrovoc/c_13356,,Cajanus cajan,http://purl.obolibrary.org/obo/NCBITaxon_3821,,,,,wfo-0000203743,No match,01707,No match,Pigeon peas,,Cajanus cajan,Pigeon Pea,FEED0324,,,Cajanus cajan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,AOM_000628,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Oil Plant ByProducts,,,,Oil Plant ByProducts,,,,,,,,,,,,,,,https://www.feedipedia.org/content/feeds?category=13598,No match,No match,,,,No Match,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Argan/Argan Pulp,AOM_003892,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Oil Plant ByProducts,Argan,Argan Pulp,,Argan Pulp,,,,,,,,Argania spinosa ,NA,,,,,wfo-0000264280,https://www.feedipedia.org/node/11775,No match,No match,,,Argania spinosa  Pulp,Argan Pulp,No Match,,,Argania spinosa  Pulp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Argan/Argan Seed/Argan Seed Cake,AOM_003890,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Oil Plant ByProducts,Argan,Argan Seed,Argan Seed Cake,Argan Seed Cake,Argan  Seed Oil Cake,,,,,,,Argania spinosa ,NA,,,,,wfo-0000264280,https://www.feedipedia.org/node/11774,No match,No match,,,Argania spinosa  Seed Cake,Argan Seed Cake,No Match,,,Argania spinosa  Seed Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Canola/Canola Cake,AOM_000616,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Oil Plant ByProducts,Canola,Canola Cake,,Canola Cake,Rape Oil Cake;OilSeed Rape Cake;Rapeseed Cake;Canola Oil Cake,,,,,http://aims.fao.org/aos/agrovoc/c_16027,,Brassica napus,http://purl.obolibrary.org/obo/NCBITaxon_3708,,,,,wfo-0000571271,No match,No match,2191,,"Oil-cake and other solid residues, of vegetable fats",Brassica napus Cake,Canola Cake,FEED0031,,,Brassica napus Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Canola/Canola Ground,AOM_001307,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Oil Plant ByProducts,Canola,Canola Ground,,Canola Ground,Canola Meal;Rapeseed Meal,,,,,http://aims.fao.org/aos/agrovoc/c_5514,,Brassica napus,http://purl.obolibrary.org/obo/NCBITaxon_4710,,,,,wfo-0000571271,https://www.feedipedia.org/node/12502,No match,2192,,"Oil-cake and other solid residues, of vegetable fats",Brassica napus,No Match,No Match,,,Brassica napus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Cashew/Cashew Shell/Cashew Shell Boiled Crushed,AOM_006052,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Oil Plant ByProducts,Cashew,Cashew Shell,Cashew Shell Boiled Crushed,Cashew Shell Boiled Crushed,,,,,,,,Anacardium occidentale,http://purl.obolibrary.org/obo/NCBITaxon_171929 ,,,,,wfo-0000533072,No match,No match,No match,,,Anacardium occidentale Shell,No Match,No Match,,,Anacardium occidentale Shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Cashew/Cashew Shell/Cashew Shell Crushed Dried,AOM_006049,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Oil Plant ByProducts,Cashew,Cashew Shell,Cashew Shell Crushed Dried,Cashew Shell Crushed Dried,,,,,,,,Anacardium occidentale,http://purl.obolibrary.org/obo/NCBITaxon_171929 ,,,,,wfo-0000533072,No match,No match,No match,,,Anacardium occidentale Shell,No Match,No Match,,,Anacardium occidentale Shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Cashew/Cashew Shell/Cashew Shell Ground,AOM_006050,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Oil Plant ByProducts,Cashew,Cashew Shell,Cashew Shell Ground,Cashew Shell Ground,,,,,,,,Anacardium occidentale,http://purl.obolibrary.org/obo/NCBITaxon_171929 ,,,,,wfo-0000533072,No match,No match,No match,,,Anacardium occidentale Shell,No Match,No Match,,,Anacardium occidentale Shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
